任务：上海  任务时间：4.0  收益值：17.0
分配卫星序号：0 分配时间片：(40890, 40924.0)

任务：天津  任务时间：6.0  收益值：13.0
分配卫星序号：0 分配时间片：(40931, 40967.0)

任务：洛阳  任务时间：8.0  收益值：15.0
分配卫星序号：0 分配时间片：(40818, 40856.0)

任务：南昌  任务时间：7.0  收益值：12.0
分配卫星序号：0 分配时间片：(40763, 40800.0)

任务：济南  任务时间：6.0  收益值：10.0
分配卫星序号：0 分配时间片：(40968.0, 41004.0)

任务：石家庄  任务时间：8.0  收益值：11.0
分配卫星序号：0 分配时间片：(41005.0, 41043.0)

任务：长沙  任务时间：8.0  收益值：11.0
分配卫星序号：0 分配时间片：(40714, 40752.0)

任务：昆明  任务时间：6.0  收益值：6.0
分配卫星序号：0 分配时间片：(40586, 40622.0)

任务：沈阳  任务时间：5.0  收益值：5.0
分配卫星序号：0 分配时间片：(41044.0, 41079.0)

任务：南宁  任务时间：8.0  收益值：7.0
分配卫星序号：0 分配时间片：(40623.0, 40661.0)

任务：大连  任务时间：7.0  收益值：6.0
分配卫星序号：0 分配时间片：(41080.0, 41117.0)

任务：抚顺  任务时间：9.0  收益值：7.0
分配卫星序号：0 分配时间片：(41118.0, 41157.0)

任务：鞍山  任务时间：14.0  收益值：9.0
分配卫星序号：0 分配时间片：(41158.0, 41202.0)

任务：贵阳  任务时间：19.0  收益值：12.0
分配卫星序号：0 分配时间片：(40662.0, 40711.0)

任务：长春  任务时间：11.0  收益值：6.0
分配卫星序号：0 分配时间片：(41203.0, 41244.0)

任务：哈尔滨  任务时间：15.0  收益值：8.0
分配卫星序号：0 分配时间片：(41245.0, 41290.0)

任务：吉林  任务时间：15.0  收益值：6.0
分配卫星序号：0 分配时间片：(41291.0, 41336.0)

任务：银川  任务时间：9.0  收益值：13.0
分配卫星序号：6 分配时间片：(40923, 40957.0)

任务：呼和浩特  任务时间：8.0  收益值：10.0
分配卫星序号：6 分配时间片：(40958.0, 40991.0)

任务：包头  任务时间：8.0  收益值：8.0
分配卫星序号：6 分配时间片：(40992.0, 41025.0)

任务：合肥  任务时间：14.0  收益值：12.0
分配卫星序号：6 分配时间片：(41120, 41159.0)

任务：台北  任务时间：10.0  收益值：8.0
分配卫星序号：6 分配时间片：(41286, 41321.0)

任务：福州  任务时间：16.0  收益值：12.0
分配卫星序号：6 分配时间片：(41322.0, 41363.0)

任务：杭州  任务时间：16.0  收益值：12.0
分配卫星序号：6 分配时间片：(41170, 41211.0)

任务：西安  任务时间：16.0  收益值：12.0
分配卫星序号：6 分配时间片：(41045, 41086.0)

任务：青岛  任务时间：12.0  收益值：8.0
分配卫星序号：6 分配时间片：(41212.0, 41249.0)

任务：武汉  任务时间：9.0  收益值：6.0
分配卫星序号：6 分配时间片：(41250.0, 41284.0)

得分:262.0
